#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTCH2	BMP4	1855636	1843758	9606.ENSP00000361266	9606.ENSP00000245451	0	0	0	0	0	0.717	0	0.828	0.949
BMP2	PTCH1	1856935	1851463	9606.ENSP00000368104	9606.ENSP00000332353	0	0	0	0	0	0.717	0	0.821	0.947
BMP2	PTCH2	1856935	1855636	9606.ENSP00000368104	9606.ENSP00000361266	0	0	0	0	0	0.717	0	0.789	0.938
GLI3	GLI1	1858347	1843155	9606.ENSP00000379258	9606.ENSP00000228682	0	0	0	0.793	0.071	0	0.900	0.974	0.922
GLI2	GLI1	1854160	1843155	9606.ENSP00000354586	9606.ENSP00000228682	0	0	0	0.808	0	0	0.900	0.983	0.918
GLI3	GLI2	1858347	1854160	9606.ENSP00000379258	9606.ENSP00000354586	0	0	0	0.882	0	0	0.900	0.973	0.911
BMP2	BMP4	1856935	1843758	9606.ENSP00000368104	9606.ENSP00000245451	0	0	0	0.968	0	0	0.900	0.973	0.903
BMP4	GLI1	1843758	1843155	9606.ENSP00000245451	9606.ENSP00000228682	0	0	0	0	0	0	0	0.893	0.894
GLI3	BMP4	1858347	1843758	9606.ENSP00000379258	9606.ENSP00000245451	0	0	0	0	0	0	0	0.893	0.893
GLI2	BMP4	1854160	1843758	9606.ENSP00000354586	9606.ENSP00000245451	0	0	0	0	0	0	0	0.889	0.889
GPC3	BMP4	1858180	1843758	9606.ENSP00000377836	9606.ENSP00000245451	0	0	0	0	0	0.292	0	0.837	0.880
GPC3	BMP2	1858180	1856935	9606.ENSP00000377836	9606.ENSP00000368104	0	0	0	0	0	0.292	0	0.789	0.845
BMP2	GLI1	1856935	1843155	9606.ENSP00000368104	9606.ENSP00000228682	0	0	0	0	0	0	0	0.836	0.836
PTCH1	HHIP	1851463	1847756	9606.ENSP00000332353	9606.ENSP00000296575	0	0	0	0	0	0	0	0.700	0.700
HHIP	GLI1	1847756	1843155	9606.ENSP00000296575	9606.ENSP00000228682	0	0	0	0	0	0	0	0.649	0.649
GPC3	PTCH2	1858180	1855636	9606.ENSP00000377836	9606.ENSP00000361266	0	0	0	0	0	0	0	0.636	0.637
GLI2	HHIP	1854160	1847756	9606.ENSP00000354586	9606.ENSP00000296575	0	0	0	0	0	0	0	0.565	0.565
PTCH2	HHIP	1855636	1847756	9606.ENSP00000361266	9606.ENSP00000296575	0	0	0	0	0	0	0	0.516	0.516
GLI3	HHIP	1858347	1847756	9606.ENSP00000379258	9606.ENSP00000296575	0	0	0	0	0	0	0	0.500	0.499
GPC3	HHIP	1858180	1847756	9606.ENSP00000377836	9606.ENSP00000296575	0	0	0	0	0	0	0	0.459	0.459
GPC3	GLI1	1858180	1843155	9606.ENSP00000377836	9606.ENSP00000228682	0	0	0	0	0	0	0	0.440	0.440
PTCH1	GAS1	1851463	1847989	9606.ENSP00000332353	9606.ENSP00000298743	0	0	0	0	0	0	0	0.407	0.407
